"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"KLRC1",2.23829368623897e-32,-2.34824090606382,0.244,0.973,6.39883399021996e-28,1.88344618211288e-29
"TRDC",3.86744595916401e-32,-2.25475692006026,0.197,0.986,1.10562545080581e-27,1.88344618211288e-29
"GNLY",4.59747010890206e-31,-4.14046401546816,0.677,1,1.31432475473292e-26,1.49264529535687e-28
"AC244502.1",1.23672814679077e-29,-0.954435789622454,0.157,0.946,3.53555842604545e-25,3.01143303743552e-27
"NKG7",1.59048568928922e-29,-2.39287208968278,0.307,0.959,4.54688048854003e-25,3.09826612273541e-27
"TYROBP",3.31753073937722e-29,-2.04386849092578,0.15,0.919,9.4841568777316e-25,5.38545823358902e-27
"CD3D",1.03306134874768e-28,2.1994085557557,0.945,0.162,2.95331578379986e-24,1.43743107668606e-26
"XCL1",3.6552074410457e-28,-1.17221770249627,0.134,0.905,1.04495070324615e-23,4.45021505947314e-26
"KLRD1",5.79215194230558e-28,-2.3467074764762,0.89,1,1.65586039726632e-23,6.2683955464507e-26
"CTSW",4.14563015219524e-27,-1.8816005962978,0.717,1,1.18515274790957e-22,4.03784376823816e-25
"KLRF1",9.84048952863546e-26,-2.02887084241814,0.173,0.838,2.8131991464463e-21,8.71330618262812e-24
"XCL2",7.6357641443101e-25,-2.15165626387648,0.181,0.851,2.18291225357537e-20,6.19769523046503e-23
"SH2D1B",1.56365833709896e-24,-1.48389795561546,0.228,0.865,4.4701864540985e-20,1.17154093871876e-22
"CD3G",5.23877891995211e-23,1.25264840017049,0.976,0.5,1.49766211763591e-18,3.64469333430954e-21
"KLRK1",7.73481732528918e-23,-1.33697842620993,0.622,0.986,2.21122957695367e-18,5.02247471655444e-21
"KLRC4-KLRK1",2.10643665232125e-22,-1.06041005382954,0.157,0.838,6.02188110165598e-18,1.28229331210056e-20
"FCER1G",8.95820420215395e-22,-2.0589067251382,0.433,0.892,2.56097141731177e-17,5.13252405464585e-20
"CMC1",1.77090157988266e-21,-2.05588610381114,0.228,0.838,5.06265343656856e-17,9.58254521558731e-20
"FGR",8.09592205659035e-21,-0.968944057769888,0.039,0.622,2.31446219753805e-16,4.15022530690474e-19
"KLRC2",2.74443565543075e-20,-0.684920227367163,0.102,0.716,7.84579265174543e-16,1.33654016419478e-18
"TRGC1",3.03433674815878e-20,-0.428516967202838,0.15,0.811,8.67456189563632e-16,1.40735428224126e-18
"GZMB",5.25207870341743e-20,-2.40175145778158,0.031,0.595,1.50146425973297e-15,2.32523848051299e-18
"SPECC1",5.61265555454432e-20,-0.505063572457389,0.787,0.973,1.60454596993313e-15,2.37683761309833e-18
"ID2",3.75101611367927e-18,-1.05351269626782,0.764,0.986,1.07234048657863e-13,1.5222873728015e-16
"TRAC",5.89438952159564e-18,1.46456136768961,0.937,0.527,1.68508807643376e-13,2.29645415761366e-16
"PRF1",1.21927219371474e-17,-1.71587508565345,0.339,0.797,3.4856553473917e-13,4.56758121799291e-16
"ITGAX",1.64055382428478e-17,-0.58671313187663,0.378,0.824,4.69001527286532e-13,5.91814601797546e-16
"TOB1",1.79727813665847e-17,1.19490489199999,0.937,0.514,5.13805873707924e-13,6.25196037537625e-16
"SIT1",2.05455312287402e-17,0.824394187059225,0.661,0.027,5.87355646767225e-13,6.90046462648033e-16
"GOLIM4",3.30343832270619e-17,-0.323984981384803,0.134,0.676,9.44386947695244e-13,1.07251630877194e-15
"S100A6",3.5686727978536e-17,1.10578842960101,0.874,0.365,1.02021217945039e-12,1.12125396939013e-15
"CD6",1.26161919321709e-16,0.697986357386494,0.835,0.284,3.60671694956903e-12,3.84005341935453e-15
"CD4",2.07484788343059e-16,0.820352778009869,0.717,0.108,5.93157512915137e-12,6.12394496503453e-15
"HOPX",4.26149370469757e-16,-1.60487804125299,0.598,0.865,1.21827582029894e-11,1.22079260834571e-14
"IRF8",5.30166893395896e-16,-0.931521592384836,0.063,0.568,1.51564111484019e-11,1.47537872619315e-14
"U2",7.25821844479283e-16,-1.23744172220393,0.094,0.595,2.07497948899737e-11,1.9637513236745e-14
"WDR74",7.70013253036104e-16,-1.45455194794239,0.638,0.919,2.20131388777961e-11,2.02700786069504e-14
"EOMES",1.35432678490325e-15,-0.484387014389304,0.024,0.486,3.8717494126814e-11,3.47135339077832e-14
"IL2RB",1.92128060498765e-15,-1.18225897158546,0.638,0.905,5.49255699353868e-11,4.79827515194351e-14
"RPL13",2.60783534999612e-15,0.555165335936157,1,1,7.4552796985689e-11,6.35007907724054e-14
"NCAM1",6.99022946623387e-15,-0.721570200089793,0.591,0.824,1.99836679980694e-10,1.66060573173458e-13
"CD5",8.15097750976844e-15,0.487653288499689,0.614,0.054,2.3302014504926e-10,1.89025049869392e-13
"CAPG",8.77956870436817e-15,-1.175453957243,0.323,0.797,2.50990310120477e-10,1.98867439954758e-13
"KLRC3",9.62716733736329e-15,-0.611688550687247,0.047,0.514,2.75221459840542e-10,2.13110476967996e-13
"TRGC2",1.14811835259713e-14,-0.822040433215922,0.252,0.743,3.28224074640467e-10,2.48503838984356e-13
"KIR2DL4",1.54593274723928e-14,-1.49393280537875,0.079,0.541,4.41951253780765e-10,3.273344556111e-13
"SPTSSB",2.71616240497007e-14,-0.988810173568171,0.11,0.568,7.76496508332844e-10,5.62881315412947e-13
"GZMK",7.29951349488227e-14,-1.05723452511699,0.181,0.689,2.08678491791694e-09,1.48119294666986e-12
"RPS29",8.93137276633595e-14,0.679831233733666,1,0.986,2.55330084644012e-09,1.77533817845127e-12
"GZMA",1.32118986367119e-13,-1.83132898277783,0.276,0.716,3.77701758226319e-09,2.57367785443148e-12
"RPL27A",1.54873665435812e-13,0.60648029377517,1,0.986,4.42752834747899e-09,2.95778333597021e-12
