"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"IL23R",2.13744408853247e-72,1.17852640698766,0.873,0.247,6.11052516029663e-68,1.32094044671307e-69
"KRT86",2.51478934016821e-69,1.12374158345716,0.737,0.068,7.18927976567288e-65,7.77069906111977e-67
"VWA5A",7.04229004219445e-66,0.898125252624491,0.851,0.197,2.01324987726255e-61,1.45071174869206e-63
"CD300LF",4.68459881040677e-60,1.05969367965969,0.688,0.079,1.33923310791909e-55,7.23770516207846e-58
"KRT81",2.43099823720326e-59,0.675180787681087,0.679,0.074,6.94973776051667e-55,3.00471382118323e-57
"KIT",5.06295935128522e-58,0.731533235886672,0.834,0.224,1.44739881934542e-53,5.21484813182377e-56
"LST1",1.03483767357145e-57,1.71784803098418,0.971,0.756,2.95839394120606e-53,9.13613831810224e-56
"IL4I1",7.57472735356775e-56,1.2454554840865,0.834,0.265,2.16546305583795e-51,5.85147688063109e-54
"LINC00299",1.09751848371733e-55,1.01701171464921,0.74,0.171,3.13758584125111e-51,7.53629358819235e-54
"IL10RA",2.78957042068628e-55,-0.705158717216409,0.14,0.724,7.97482391865794e-51,1.72395451998412e-53
"JAML",1.53751666263094e-51,1.44548614157051,0.945,0.606,4.39545263512933e-47,8.63804815914473e-50
"TOX2",2.93153484256305e-48,0.546969339432837,0.597,0.062,8.38067180791925e-44,1.50974044391997e-46
"NCR2",5.09417160290502e-46,0.841148853667032,0.545,0.047,1.45632177783849e-41,2.42169080815023e-44
"PCDH9",1.77684084048866e-43,0.815042800258719,0.994,0.985,5.07963259478899e-39,7.84348313872853e-42
"TMIGD2",6.01443386579527e-43,0.919137701312965,0.747,0.256,1.71940635355355e-38,2.47794675270765e-41
"LTA4H",1.3062074726068e-42,1.08367409031941,0.834,0.374,3.73418592268831e-38,5.04522636294376e-41
"KIAA1324",3.37383076450177e-40,0.756113112442735,0.851,0.503,9.64510738955766e-36,1.226486713213e-38
"MT-RNR1",3.70485332932609e-39,1.08019990929755,1,0.994,1.05914346978774e-34,1.27199964306863e-37
"TNFSF13B",6.19296618464462e-39,1.42720758379481,1,1,1.7704451728662e-34,2.01434373795283e-37
"IL1R1",2.08775056727575e-38,0.545354494324794,0.656,0.203,5.96846132172792e-34,6.45114925288207e-37
"TMSB10",2.599061865887e-37,-0.92017479958383,0.932,0.982,7.43019806219774e-33,7.64866777675316e-36
"GSN",3.1738122850716e-36,0.976149305583352,0.805,0.479,9.07329456056269e-32,8.91552723715568e-35
"SELL",4.31319044057516e-36,-0.769672004883513,0.799,0.979,1.23305488315163e-31,1.15893551838063e-34
"SH2D1B",5.05181969133883e-36,0.585933828720727,0.877,0.418,1.44421421335994e-31,1.30084357051975e-34
"SLC4A10",2.53287722909723e-34,0.250715603837752,0.591,0.141,7.24098942254316e-30,6.26127251032835e-33
"ITGB2",7.41280637476665e-34,-0.631836560640924,0.37,0.791,2.11917308641829e-29,1.76196705369453e-32
"RPS27",1.64315188265451e-33,-0.355601447046241,1,1,4.69744260213271e-29,3.76099208696476e-32
"MT-CO1",2.59924200609581e-33,0.404191113390207,1,1,7.4307130470267e-29,5.73689842774004e-32
"OTUD5",1.11097131951653e-32,0.687346677825095,0.74,0.303,3.17604480823387e-28,2.36751819124558e-31
"TNFSF11",1.59018529168141e-32,0.414926917457345,0.494,0.079,4.54602171185882e-28,3.27578170086371e-31
"TNFRSF18",3.92869012995928e-31,0.765421302619673,0.75,0.321,1.12313393435276e-26,7.83203387198334e-30
"CAT",4.7662034921366e-31,0.85901147087256,0.744,0.338,1.36256225433201e-26,9.2047304941888e-30
"XCL1",9.07550121798768e-31,0.647731478880739,0.744,0.285,2.59450428819832e-26,1.69959386445951e-29
"AFF3",9.40183401670761e-31,0.592168722449768,0.773,0.465,2.68779630869637e-26,1.70892159480156e-29
"SPINK2",4.07036911349853e-30,1.01561025887185,0.536,0.115,1.16363712216696e-25,7.18710889183455e-29
"RPL21",7.97420660020991e-30,-0.500923406423025,0.984,0.997,2.27966618286801e-25,1.36890546636937e-28
"RPS25",9.8447739030524e-30,-0.728186288769015,0.932,0.994,2.81442396340462e-25,1.6443433167801e-28
"EMP3",1.81429755713971e-29,-0.792331645208585,0.377,0.788,5.18671385635101e-25,2.95062076397985e-28
"CD3D",2.39069734278021e-29,-1.20222006596034,0.045,0.429,6.83452556354007e-25,3.78833578932865e-28
"ZFP36L1",7.93893243550193e-29,1.05761929913737,0.997,0.95,2.26958200466129e-24,1.22656506128505e-27
"LEF1",1.30715360964947e-28,-0.543582525703146,0.013,0.362,3.7368907392659e-24,1.9702949530814e-27
"TC2N",2.50098659932072e-28,-0.537342000446508,0.224,0.65,7.14982049013808e-24,3.68002313900049e-27
"TOX",3.7856821104338e-28,0.367938738343859,0.649,0.241,1.08225080173081e-23,5.440817544763e-27
"RHOC",5.28937402734563e-28,0.74987672671232,0.623,0.206,1.51212624693757e-23,7.42916624749909e-27
