"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"NKG7",7.89721983301788e-57,2.75215503715357,0.959,0.235,2.25765720586315e-52,4.59618194281641e-54
"KLRF1",6.58522638877027e-52,2.0738394655742,0.838,0.155,1.88258452002164e-47,1.91630087913215e-49
"GNLY",1.95460625817253e-41,3.45658752597735,1,0.779,5.58782837086363e-37,3.79193614085471e-39
"KLRD1",9.28888353373829e-41,2.69266081524303,1,0.861,2.6555060246251e-36,1.35153255415892e-38
"GZMK",4.57462598296906e-39,1.35591227305067,0.689,0.117,1.30779407601119e-34,5.32486464417598e-37
"EOMES",5.8837952072938e-38,0.49861919041398,0.486,0.04,1.68205937386115e-33,5.70728135107499e-36
"CST7",7.13891662654888e-38,1.41050534752277,0.757,0.167,2.04087348519779e-33,5.93549925235921e-36
"PRF1",1.15947719363577e-35,1.8502010842036,0.797,0.235,3.31471340116595e-31,8.43519658370024e-34
"GZMB",4.83268623829716e-35,2.39939200600924,0.595,0.094,1.38156834180439e-30,3.1251371007655e-33
"GZMA",1.28185805952177e-34,2.29016790483152,0.716,0.171,3.66457582056084e-30,7.46041390641671e-33
"CMC1",2.84029236094037e-33,1.91497267913377,0.838,0.26,8.11982780145632e-29,1.5027728673339e-31
"KLRC4",1.32151240974271e-32,0.377525051972603,0.419,0.031,3.77793967697245e-28,6.40933518725213e-31
"KLRC3",5.40127441571331e-31,0.624796683396143,0.514,0.068,1.54411632996412e-26,2.41810900765011e-29
"KLRC1",6.22111119957456e-31,1.50381253220122,0.973,0.503,1.77849126973437e-26,2.58620479868028e-29
"GZMH",9.50319341080026e-31,0.305066406208954,0.324,0.016,2.71677293227958e-26,3.6872390433905e-29
"KLRC2",6.55125147866809e-30,0.686849163468022,0.716,0.171,1.87287177272163e-25,2.38301772536552e-28
"KIR2DL4",8.28820444949884e-29,1.47508025256666,0.541,0.092,2.36943188802273e-24,2.83749117035784e-27
"IRF8",1.90703539347568e-28,0.929569730096928,0.568,0.103,5.45183278286828e-24,6.16608110557138e-27
"CTSW",3.6419269628295e-26,1.19775058227341,1,0.847,1.0411540801337e-21,1.11557973282461e-24
"ITGAX",1.05351013198651e-24,0.577116906453126,0.824,0.392,3.01177476532305e-20,3.06571448408076e-23
"SPTSSB",1.61024104127317e-23,0.93435020109035,0.568,0.138,4.60335708879174e-19,4.46266802867135e-22
"AOAH",4.20531837732892e-23,0.851905082633132,0.649,0.2,1.20221641771079e-18,1.11249786163883e-21
"AC068775.2",5.07124636369217e-22,0.779593344300667,0.5,0.106,1.44976791045232e-17,1.28324581898645e-20
"TYROBP",6.03409565135886e-21,1.1046145745385,0.919,0.481,1.72502726481047e-16,1.46326819545452e-19
"IL7R",1.4594030482742e-20,-1.01173142936211,0.905,1,4.17214143440627e-16,3.39749029638233e-19
"HOPX",6.22345792403585e-20,1.34929769501319,0.865,0.563,1.77916215132337e-15,1.39309711991879e-18
"IL12RB2",3.16041002125152e-19,0.57216537333977,0.5,0.118,9.03498016875384e-15,6.81243937914216e-18
"NCAM1",3.95635072500426e-18,0.681779386973769,0.824,0.577,1.13104154526422e-13,8.22355757840171e-17
"KLRK1",7.06947938905566e-18,0.882065606507568,0.986,0.812,2.02102276774323e-13,1.41877138083807e-16
"KLRC4-KLRK1",7.85134234176751e-18,0.702285030958071,0.838,0.375,2.24454174866449e-13,1.5231604143029e-16
"CD300A",2.04998309194992e-17,1.11924792610553,0.635,0.251,5.86049166326643e-13,3.84867793391888e-16
"LTB",3.18120062027593e-17,-1.33264273459732,0.878,0.976,9.09441633324482e-13,5.78580862812684e-16
"CD244",3.7582896340651e-17,0.487740208530978,0.405,0.084,1.07441984058653e-12,6.62825626371482e-16
"CCL4",7.89521487292774e-17,2.4110204401696,0.351,0.063,2.25708402787258e-12,1.32832470817273e-15
"FCGR3A",7.98820700791161e-17,0.313772851080775,0.216,0.017,2.28366861942177e-12,1.32832470817273e-15
"PLEK",1.37217647576885e-16,0.56437667995426,0.419,0.096,3.92277810892799e-12,2.21835196915964e-15
"ADGRG3",1.51463237211789e-16,0.515035711762058,0.297,0.042,4.33003102541062e-12,2.38247578533138e-15
"TRDC",1.7583115937635e-16,0.839513832313521,0.986,0.646,5.0266611842511e-12,2.692993019922e-15
"HCST",3.44729457417043e-16,0.940809472774345,0.851,0.49,9.85512572863842e-12,5.1444242106851e-15
"XCL2",8.23970472512984e-16,1.19691419316497,0.851,0.481,2.35556678682012e-11,1.19887703750639e-14
"IFITM2",1.8704286826672e-15,0.67933566138416,0.986,0.988,5.347181518009e-11,2.65509632515198e-14
"CCL5",4.30946148267055e-15,1.45405641795958,0.905,0.662,1.23198884866586e-10,5.97168234027205e-14
"IL2RB",4.72434762579117e-15,0.840677600164854,0.905,0.639,1.35059649926118e-10,6.39434957723362e-14
"C1orf21",4.89676797208948e-15,0.351709476278552,0.243,0.03,1.39988802786094e-10,6.47708854490018e-14
"AC034238.1",6.81349601294669e-15,0.454179255897685,0.757,0.5,1.9478422401812e-10,8.81212151007772e-14
"FGR",9.16047938459172e-15,0.713333734588304,0.622,0.256,2.61879784646708e-10,1.15899978300704e-13
"TRAC",9.91410614804344e-15,-1.19597387945458,0.527,0.821,2.83424466560266e-10,1.22766165492793e-13
"TNFRSF25",1.22060606337177e-14,-0.855719138717036,0.689,0.887,3.48946861396723e-10,1.47998485183828e-13
"CCL4L2",1.69965406507336e-14,0.300755343773458,0.216,0.023,4.85897104123173e-10,2.0187727874953e-13
"DUSP2",2.85788161431497e-14,1.51608866856366,0.743,0.456,8.17011195900364e-10,3.32657419906263e-13
"TPST2",4.16124520477856e-14,0.812376872183436,0.824,0.61,1.18961677914209e-09,4.74871511604141e-13
"ITGB2",5.00213806783245e-14,0.741013289229491,0.851,0.557,1.43001123083194e-09,5.59854683745862e-13
