"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"Ccnb2",5.64001521037061e-39,-0.584975851530517,0,1,1.35946926630773e-34,6.10847163191235e-36
"Cdk1",5.64001521037061e-39,-1.48836761430187,0,1,1.35946926630773e-34,6.10847163191235e-36
"Rps12l1",5.64001521037061e-39,-3.03027873227605,0,1,1.35946926630773e-34,6.10847163191235e-36
"Ruvbl2",8.38467511214453e-39,-1.03865900802782,0.01,1,2.02104208903132e-34,6.10847163191235e-36
"Rrm2",8.67599908255773e-39,-1.05855505424313,0.01,1,2.09126281885972e-34,6.10847163191235e-36
"Hist1h2ap",1.19224806474378e-38,-3.68305551311497,0.02,1,2.87379473525842e-34,6.10847163191235e-36
"Ifitm2",1.23349976398989e-38,-1.46337805166287,0.02,1,2.97322783112122e-34,6.10847163191235e-36
"Rorb",1.67858792678129e-38,0.573563827195686,1,0.03,4.04606833871363e-34,6.10847163191235e-36
"Mdk",1.92211785088006e-38,-1.39774502579455,0.03,1,4.6330728677613e-34,6.10847163191235e-36
"CT573085.2",2.15718466457067e-38,-0.409211736923728,0,0.99,5.19967791548114e-34,6.10847163191235e-36
"Hmga1b",2.15718466457067e-38,-1.15345845148717,0,0.99,5.19967791548114e-34,6.10847163191235e-36
"Cdc20",2.15718466457067e-38,-1.20590741609051,0,0.99,5.19967791548114e-34,6.10847163191235e-36
"Rps12-ps3",2.26297146810892e-38,-2.88565383787336,0.04,1,5.45466642672974e-34,6.10847163191235e-36
"Gm13841",2.34065758651439e-38,-2.13543768725612,0.04,1,5.64192104653428e-34,6.10847163191235e-36
"Gm8210",2.34065758651439e-38,-2.13543768725612,0.04,1,5.64192104653428e-34,6.10847163191235e-36
"Gm11808",2.42099445406484e-38,-2.45977240935396,0.04,1,5.8355650320779e-34,6.10847163191235e-36
"Gm7993",3.16217732501761e-38,-0.504484682685203,0.01,0.99,7.62211222422245e-34,6.83143627355679e-36
"Uhrf1",3.27141934085932e-38,-0.493571000429771,0.01,0.99,7.88542917920731e-34,6.83143627355679e-36
"Mcm6",3.27141934085932e-38,-0.760893982139865,0.01,0.99,7.88542917920731e-34,6.83143627355679e-36
"Cdca7",3.38441232279256e-38,-0.647701345081592,0.01,0.99,8.15778746285919e-34,6.83143627355679e-36
"Cks1b",4.57694176222421e-38,-1.73629271999933,0.06,1,1.10322604236652e-33,8.32861515398886e-36
"AC159622.1",4.58728061445462e-38,-0.315657170391224,0.02,0.99,1.10571811930814e-33,8.32861515398886e-36
"Olfr1388",4.74506189105137e-38,-0.397986228421703,0.02,0.99,1.14374971821902e-33,8.32861515398886e-36
"Hells",6.11745655210933e-38,-0.575857682975358,0.05,1,1.47455172732043e-33,1.02900717086939e-35
"Gm8186",6.58754307863992e-38,-1.92069411022757,0.03,0.99,1.58786138367537e-33,1.06087493597426e-35
"Gm12918",7.09547894592574e-38,-2.07589237581468,0.07,1,1.71029424512594e-33,1.06087493597426e-35
"Gm10163",7.47823335964029e-38,-2.91815589261631,0.05,1,1.8025533690077e-33,1.06087493597426e-35
"Cenpa",8.06174569208091e-38,-0.986408994025074,0.03,0.99,1.94320318161918e-33,1.06087493597426e-35
"Rpl10-ps3",8.0781322274823e-38,-3.01541196970874,0.08,1,1.94715299211233e-33,1.06087493597426e-35
"Foxh1",8.14642631042902e-38,-0.63560515827736,0,0.98,1.96361459786581e-33,1.06087493597426e-35
"Gmnn",8.14642631042902e-38,-1.04493980227555,0,0.98,1.96361459786581e-33,1.06087493597426e-35
"Gm11361",1.04239581329077e-37,-2.29632450125012,0.09,1,2.51259086835607e-33,1.31504746820464e-35
"Myc",1.30321835260205e-37,-0.380622391117272,0.01,0.98,3.14127751711199e-33,1.51051127633911e-35
"Slc16a3",1.30321835260205e-37,-0.785543528666511,0.01,0.98,3.14127751711199e-33,1.51051127633911e-35
"Gm43041",1.30958371741067e-37,-0.598830971772732,0.03,1,3.15662059244669e-33,1.51051127633911e-35
"Rps6ka6",1.34795564566751e-37,-0.349043854346176,0.01,0.98,3.24911228831696e-33,1.51158248376659e-35
"Cks2",1.76537272344474e-37,-1.87811328519521,0.01,0.98,4.2552544125912e-33,1.92616477960714e-35
"Sall4",2.35767554694772e-37,-0.644400571377078,0.02,0.98,5.68294113836277e-33,2.44096319338456e-35
"Rps16-ps2",2.35812644394347e-37,-2.55934257257185,0.12,1,5.68402798048134e-33,2.44096319338456e-35
"Gm7609",3.03784743534182e-37,1.00127574889514,0.97,0,7.32242745814793e-33,2.91995002297022e-35
"Plk1",3.03784743534182e-37,-0.61364176631439,0,0.97,7.32242745814793e-33,2.91995002297022e-35
"Dnmt3b",3.03784743534182e-37,-1.31866614800647,0,0.97,7.32242745814793e-33,2.91995002297022e-35
"Ube2n-ps1",4.07456425715163e-37,-1.22624036873631,0.03,0.98,9.8213296854383e-33,3.77586310876914e-35
"Rpl31-ps8",4.11538213489825e-37,-2.69021891350389,0.07,1,9.91971709795874e-33,3.77586310876914e-35
"Gm4739",4.6499731009099e-37,-1.64999969750528,0.03,1,1.12082951624332e-32,4.17154253519406e-35
"Spc25",5.2979985790907e-37,-0.593329763098665,0.01,0.97,1.27702957750402e-32,4.64956962256286e-35
"Cdt1",5.47872051214151e-37,-0.491841306838059,0.01,0.97,1.32059079224659e-32,4.70587121436495e-35
"Rps6-ps4",6.70577547483519e-37,-1.82817294260602,0.05,1,1.61636012045427e-32,5.60600828290783e-35
"Hmga1",6.80441926833004e-37,-1.65482146079285,0.14,1,1.64013722043827e-32,5.60600828290783e-35
"Tpx2",6.98737126972077e-37,-0.341006040171645,0.02,0.97,1.68423597085349e-32,5.64160356317255e-35
"Timm8a1",7.32836964879442e-37,-1.10171877973659,0.07,0.99,1.76643022014541e-32,5.80090750434962e-35
"Siva1",8.00494524024074e-37,-1.439764131048,0.14,1,1.92951200070763e-32,6.21460844900997e-35
"Rps23-ps1",8.43866007941417e-37,-2.74624484931382,0.16,1,2.03405462554199e-32,6.42771146048962e-35
"Gm10260",9.88581786199681e-37,-2.51463283510944,0.18,1,2.38287753745571e-32,7.16882797437237e-35
"Mcm4",9.89518581384384e-37,-0.607813715045638,0.1,1,2.38513558856892e-32,7.16882797437237e-35
"Pcna-ps2",1.04426793322476e-36,-1.00505616632387,0.09,1,2.51710342624496e-32,7.16882797437237e-35
"Mcm10",1.07825012629731e-36,-0.302961858556762,0.02,0.97,2.59901410442704e-32,7.16882797437237e-35
"Carnmt1",1.11874204207446e-36,-0.27344559129698,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Cdc45",1.11874204207446e-36,-0.287258359429465,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Bub1b",1.11874204207446e-36,-0.345696771581354,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Dnph1",1.11874204207446e-36,-0.367897186080086,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Cdca3",1.11874204207446e-36,-0.574389653393149,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Rpl15-ps3",1.11874204207446e-36,-2.49275769796466,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Gm2000",1.16712352314085e-36,-2.09376534785318,0.17,1,2.81323454017869e-32,7.36199634831186e-35
