"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"Gm6341",5.64001521037061e-39,-0.399039679107549,0,1,1.45439072229827e-34,5.49149480983085e-36
"Ccnb2",5.64001521037061e-39,-0.580642272263485,0,1,1.45439072229827e-34,5.49149480983085e-36
"Gm28727",5.64001521037061e-39,-0.746263886677139,0,1,1.45439072229827e-34,5.49149480983085e-36
"Ruvbl2",8.38467511214453e-39,-1.00127130912269,0.01,1,2.16215617116871e-34,6.12290900064354e-36
"Gm10288",1.27617018375844e-38,-1.77704473197384,0.02,1,3.2908600528579e-34,6.21282184459736e-36
"Rpl31-ps8",1.27617018375844e-38,-2.35399756766767,0.02,1,3.2908600528579e-34,6.21282184459736e-36
"Ifitm2",1.62266116083387e-38,-1.51611967379071,0.03,1,4.18435633544231e-34,6.30113640521093e-36
"Uhrf1",2.15718466457067e-38,-0.46988972861771,0,0.99,5.56273209452839e-34,6.30113640521093e-36
"Foxh1",2.15718466457067e-38,-0.617186480083573,0,0.99,5.56273209452839e-34,6.30113640521093e-36
"Hist1h2ad",2.15718466457067e-38,-1.10138174229523,0,0.99,5.56273209452839e-34,6.30113640521093e-36
"Cdc20",3.16217732501761e-38,-1.15041135083381,0.01,0.99,8.15430666802292e-34,8.39701815125131e-36
"Rrm2",3.69867246447216e-38,-1.18461981658236,0.05,1,9.53776668413436e-34,9.00318522393599e-36
"Rps23-ps1",4.28036498458831e-38,-3.238138881629,0.06,1,1.10377771857579e-33,9.43924712011404e-36
"Rps16-ps2",4.52411707229019e-38,-2.34709437566886,0.05,1,1.16663406943147e-33,9.43924712011404e-36
"Rcc1",7.30996543297201e-38,-0.539143271589795,0.06,1,1.88502078620049e-33,1.24313480294836e-35
"Pola2",7.81386978785626e-38,-1.55969956914717,0.08,1,2.01496260219449e-33,1.24313480294836e-35
"Gm13841",7.81386978785626e-38,-2.05397860876648,0.08,1,2.01496260219449e-33,1.24313480294836e-35
"Gm8210",7.81386978785626e-38,-2.05397860876648,0.08,1,2.01496260219449e-33,1.24313480294836e-35
"Cdt1",8.14642631042902e-38,-0.505646645761722,0,0.98,2.10071895267033e-33,1.24313480294836e-35
"Gm2000",8.9254102637228e-38,-2.43257372442155,0.08,1,2.3015955447062e-33,1.24313480294836e-35
"Cks1b",1.04239581329077e-37,-1.82063522090983,0.09,1,2.68802608373291e-33,1.24313480294836e-35
"Gm10163",1.04239581329077e-37,-3.10478435176753,0.09,1,2.68802608373291e-33,1.24313480294836e-35
"Hist1h2ap",1.04239581329077e-37,-4.00049856155551,0.09,1,2.68802608373291e-33,1.24313480294836e-35
"Gm45184",1.07116664628631e-37,-1.55152686538523,0.04,0.99,2.76221743077851e-33,1.24313480294836e-35
"Cdca7",1.14540943020485e-37,-0.655856334356934,0.04,0.99,2.95366729766925e-33,1.24313480294836e-35
"AC241534.1",1.15135478230764e-37,-3.19499161101682,0.09,1,2.9689985771367e-33,1.24313480294836e-35
"Myc",1.21812395013331e-37,-0.399178710156312,0.01,0.98,3.14117623020878e-33,1.24313480294836e-35
"Slc16a3",1.25995726201848e-37,-0.815252673516057,0.01,0.98,3.24905179156706e-33,1.24313480294836e-35
"Ube2n-ps1",1.25995726201848e-37,-1.16973356968613,0.01,0.98,3.24905179156706e-33,1.24313480294836e-35
"Mcm10",1.29022832719841e-37,-0.27110701544751,0.03,0.99,3.32711178734654e-33,1.24313480294836e-35
"Gm8186",1.31931458032863e-37,-2.31193045874386,0.05,0.99,3.40211650829343e-33,1.24313480294836e-35
"Top2a",1.45834279876743e-37,-0.698875197317606,0.05,0.99,3.76062857518157e-33,1.33119353599989e-35
"Gm4735",1.57403170128802e-37,-1.27722868379504,0.1,1,4.05895554811143e-33,1.39325654529161e-35
"Rps12-ps3",1.81047372930004e-37,-3.2283791496172,0.11,1,4.66866860574602e-33,1.52322102951818e-35
"Gm4739",1.82515357867635e-37,-1.9013510854726,0.01,1,4.70652353333271e-33,1.52322102951818e-35
"Gm7488",1.99435738008085e-37,-0.806961774660805,0.03,0.99,5.14284937601448e-33,1.61819941867115e-35
"Cks2",2.323424355744e-37,-2.0087481186189,0.06,0.99,5.99141438615706e-33,1.8342493359806e-35
"Gm10263",2.38642463264605e-37,-0.69627794293266,0.01,1,6.15387320020436e-33,1.83440693472608e-35
"Mcm6",2.48304831174064e-37,-0.716803958055835,0.06,0.99,6.4030366814856e-33,1.85973951758831e-35
"Rpl3-ps1",2.75631053174672e-37,-2.33782335295952,0.1,1,7.10769796821526e-33,2.01279576580804e-35
"Dnmt3b",3.03784743534182e-37,-1.32993806303435,0,0.97,7.83369718151596e-33,2.16428106308133e-35
"Gm12481",3.16003205770475e-37,-1.51033470819525,0.07,1,8.14877466720323e-33,2.19772705727514e-35
"Rpl34-ps1",3.48925319057847e-37,-3.26425534805262,0.08,0.99,8.9977372025447e-33,2.37025780690226e-35
"Gm43558",4.22656786620003e-37,-1.47791990533311,0.02,1,1.089905055657e-32,2.80586471299325e-35
"Rpl15-ps3",4.63247290731414e-37,-2.03508951311195,0.01,0.97,1.1945757886091e-32,3.0069896360588e-35
"Cdca3",4.79062396407228e-37,-0.565057587792571,0.01,0.97,1.23535820161532e-32,3.0420462171859e-35
"Spc25",4.9541403476395e-37,-0.56567654161887,0.01,0.97,1.2775241714458e-32,3.07894552243723e-35
"Eef1akmt4",5.47872051214151e-37,-0.438666710201303,0.01,0.97,1.41279765846593e-32,3.25027405936575e-35
"Gm43041",5.52580629312229e-37,-0.561795118252312,0.11,1,1.42493966880745e-32,3.25027405936575e-35
"Sall4",5.67490506770466e-37,-0.647020405784214,0.05,0.98,1.463387769809e-32,3.25027405936575e-35
"Mcm2",5.67490506770466e-37,-0.663262465017653,0.05,0.98,1.463387769809e-32,3.25027405936575e-35
"Rpl28-ps1",6.30398966449665e-37,-2.44040718623351,0.16,1,1.62560981478375e-32,3.54114496346052e-35
"Cdk1",6.61580795521593e-37,-1.35963902221997,0.04,1,1.70601839741153e-32,3.64618396928032e-35
"Raly",7.39843566191027e-37,-0.817117597078975,0.05,0.98,1.9078346041368e-32,4.0020056608222e-35
"Gm7536",8.11108816738401e-37,-2.79167044516701,0.15,1,2.09160630572331e-32,4.30772518853249e-35
