"Run"	"facs_gating"	"tonsil_donor"
"SRR2088075"	"ILC1"	"DonorA"
"SRR2088076"	"NK"	"DonorA"
"SRR2088077"	"ILC2"	"DonorA"
"SRR2088078"	"NK"	"DonorA"
"SRR2088079"	"ILC2"	"DonorA"
"SRR2088080"	"ILC3"	"DonorA"
"SRR2088081"	"ILC3"	"DonorA"
"SRR2088082"	"ILC3"	"DonorA"
"SRR2088083"	"ILC3"	"DonorA"
"SRR2088084"	"ILC3"	"DonorA"
"SRR2088085"	"NK"	"DonorA"
"SRR2088086"	"NK"	"DonorA"
"SRR2088087"	"ILC3"	"DonorA"
"SRR2088088"	"ILC3"	"DonorA"
"SRR2088089"	"ILC3"	"DonorA"
"SRR2088090"	"ILC3"	"DonorA"
"SRR2088091"	"ILC3"	"DonorA"
"SRR2088092"	"ILC3"	"DonorA"
"SRR2088093"	"NK"	"DonorA"
"SRR2088094"	"NK"	"DonorA"
"SRR2088095"	"ILC2"	"DonorA"
"SRR2088096"	"NK"	"DonorA"
"SRR2088097"	"NK"	"DonorA"
"SRR2088098"	"ILC3"	"DonorA"
"SRR2088099"	"ILC3"	"DonorA"
"SRR2088100"	"ILC3"	"DonorA"
"SRR2088101"	"ILC3"	"DonorA"
"SRR2088102"	"ILC3"	"DonorA"
"SRR2088103"	"ILC3"	"DonorA"
"SRR2088104"	"ILC3"	"DonorA"
"SRR2088105"	"ILC3"	"DonorA"
"SRR2088106"	"ILC3"	"DonorA"
"SRR2088107"	"ILC3"	"DonorA"
"SRR2088108"	"NK"	"DonorA"
"SRR2088109"	"NK"	"DonorA"
"SRR2088110"	"ILC3"	"DonorA"
"SRR2088111"	"NK"	"DonorA"
"SRR2088112"	"ILC3"	"DonorA"
"SRR2088113"	"NK"	"DonorA"
"SRR2088114"	"NK"	"DonorA"
"SRR2088115"	"ILC2"	"DonorA"
"SRR2088116"	"NK"	"DonorA"
"SRR2088117"	"NK"	"DonorA"
"SRR2088118"	"ILC2"	"DonorA"
"SRR2088119"	"ILC2"	"DonorA"
"SRR2088120"	"NK"	"DonorA"
"SRR2088121"	"ILC3"	"DonorA"
"SRR2088122"	"ILC3"	"DonorA"
"SRR2088123"	"ILC2"	"DonorA"
"SRR2088124"	"NK"	"DonorA"
"SRR2088125"	"ILC2"	"DonorA"
"SRR2088126"	"ILC3"	"DonorA"
"SRR2088127"	"ILC3"	"DonorA"
"SRR2088128"	"ILC3"	"DonorA"
"SRR2088129"	"ILC3"	"DonorA"
"SRR2088130"	"NK"	"DonorA"
"SRR2088131"	"NK"	"DonorA"
"SRR2088132"	"ILC2"	"DonorA"
"SRR2088133"	"ILC3"	"DonorA"
"SRR2088134"	"ILC3"	"DonorA"
"SRR2088135"	"NK"	"DonorA"
"SRR2088136"	"ILC2"	"DonorA"
"SRR2088137"	"NK"	"DonorA"
"SRR2088138"	"NK"	"DonorA"
"SRR2088139"	"NK"	"DonorA"
"SRR2088140"	"ILC2"	"DonorA"
"SRR2088141"	"NK"	"DonorA"
"SRR2088142"	"NK"	"DonorA"
"SRR2088143"	"ILC3"	"DonorA"
"SRR2088144"	"ILC3"	"DonorA"
"SRR2088145"	"ILC3"	"DonorA"
"SRR2088146"	"ILC3"	"DonorA"
"SRR2088147"	"ILC3"	"DonorA"
"SRR2088148"	"ILC3"	"DonorA"
"SRR2088149"	"ILC3"	"DonorA"
"SRR2088150"	"ILC3"	"DonorB"
"SRR2088151"	"ILC3"	"DonorB"
"SRR2088152"	"ILC3"	"DonorB"
"SRR2088153"	"ILC3"	"DonorB"
"SRR2088154"	"ILC3"	"DonorB"
"SRR2088155"	"ILC3"	"DonorB"
"SRR2088156"	"ILC3"	"DonorB"
"SRR2088157"	"ILC3"	"DonorB"
"SRR2088158"	"ILC3"	"DonorB"
"SRR2088159"	"ILC3"	"DonorB"
"SRR2088160"	"ILC3"	"DonorB"
"SRR2088161"	"NK"	"DonorB"
"SRR2088162"	"ILC3"	"DonorB"
"SRR2088163"	"ILC3"	"DonorB"
"SRR2088164"	"ILC3"	"DonorB"
"SRR2088165"	"ILC3"	"DonorB"
"SRR2088166"	"ILC3"	"DonorB"
"SRR2088167"	"ILC3"	"DonorB"
"SRR2088168"	"ILC3"	"DonorB"
"SRR2088169"	"ILC3"	"DonorB"
"SRR2088170"	"ILC3"	"DonorB"
"SRR2088171"	"ILC3"	"DonorB"
"SRR2088172"	"ILC3"	"DonorB"
"SRR2088173"	"ILC3"	"DonorB"
"SRR2088174"	"ILC3"	"DonorB"
"SRR2088175"	"ILC3"	"DonorB"
"SRR2088176"	"ILC3"	"DonorB"
"SRR2088177"	"NK"	"DonorB"
"SRR2088178"	"ILC3"	"DonorB"
"SRR2088179"	"ILC3"	"DonorB"
"SRR2088180"	"NK"	"DonorB"
"SRR2088181"	"ILC3"	"DonorB"
"SRR2088182"	"ILC3"	"DonorB"
"SRR2088183"	"ILC3"	"DonorB"
"SRR2088184"	"ILC3"	"DonorB"
"SRR2088185"	"ILC3"	"DonorB"
"SRR2088186"	"ILC3"	"DonorB"
"SRR2088187"	"ILC3"	"DonorB"
"SRR2088188"	"ILC3"	"DonorB"
"SRR2088189"	"ILC3"	"DonorB"
"SRR2088190"	"ILC3"	"DonorB"
"SRR2088191"	"ILC3"	"DonorB"
"SRR2088192"	"ILC3"	"DonorB"
"SRR2088193"	"ILC3"	"DonorB"
"SRR2088194"	"NK"	"DonorB"
"SRR2088195"	"ILC3"	"DonorB"
"SRR2088196"	"ILC3"	"DonorB"
"SRR2088197"	"ILC3"	"DonorB"
"SRR2088198"	"ILC3"	"DonorB"
"SRR2088199"	"ILC3"	"DonorB"
"SRR2088200"	"ILC3"	"DonorB"
"SRR2088201"	"ILC3"	"DonorB"
"SRR2088202"	"ILC3"	"DonorB"
"SRR2088203"	"ILC3"	"DonorB"
"SRR2088204"	"ILC3"	"DonorB"
"SRR2088205"	"ILC3"	"DonorB"
"SRR2088206"	"ILC3"	"DonorB"
"SRR2088207"	"ILC3"	"DonorB"
"SRR2088208"	"ILC3"	"DonorB"
"SRR2088209"	"ILC3"	"DonorB"
"SRR2088210"	"ILC3"	"DonorB"
"SRR2088211"	"ILC3"	"DonorB"
"SRR2088212"	"ILC3"	"DonorB"
"SRR2088213"	"ILC3"	"DonorB"
"SRR2088214"	"ILC3"	"DonorB"
"SRR2088215"	"ILC3"	"DonorB"
"SRR2088216"	"ILC3"	"DonorB"
"SRR2088217"	"ILC3"	"DonorB"
"SRR2088218"	"ILC3"	"DonorB"
"SRR2088219"	"ILC3"	"DonorB"
"SRR2088220"	"ILC3"	"DonorB"
"SRR2088221"	"ILC3"	"DonorB"
"SRR2088222"	"ILC3"	"DonorB"
"SRR2088223"	"ILC3"	"DonorB"
"SRR2088224"	"ILC3"	"DonorB"
"SRR2088225"	"ILC3"	"DonorB"
"SRR2088226"	"ILC3"	"DonorB"
"SRR2088227"	"ILC3"	"DonorB"
"SRR2088228"	"NK"	"DonorB"
"SRR2088229"	"ILC3"	"DonorB"
"SRR2088230"	"ILC3"	"DonorB"
"SRR2088231"	"ILC3"	"DonorB"
"SRR2088232"	"ILC3"	"DonorB"
"SRR2088233"	"NK"	"DonorB"
"SRR2088234"	"ILC3"	"DonorB"
"SRR2088235"	"ILC3"	"DonorB"
"SRR2088236"	"ILC3"	"DonorB"
"SRR2088237"	"ILC3"	"DonorB"
"SRR2088238"	"ILC3"	"DonorB"
"SRR2088239"	"ILC3"	"DonorB"
"SRR2088240"	"ILC3"	"DonorB"
"SRR2088241"	"ILC3"	"DonorB"
"SRR2088242"	"ILC3"	"DonorB"
"SRR2088243"	"ILC3"	"DonorB"
"SRR2088244"	"ILC3"	"DonorB"
"SRR2088245"	"NK"	"DonorB"
"SRR2088246"	"ILC3"	"DonorB"
"SRR2088247"	"ILC3"	"DonorB"
"SRR2088248"	"NK"	"DonorB"
"SRR2088249"	"ILC3"	"DonorB"
"SRR2088250"	"ILC3"	"DonorB"
"SRR2088251"	"ILC3"	"DonorB"
"SRR2088252"	"ILC3"	"DonorB"
"SRR2088253"	"ILC3"	"DonorB"
"SRR2088254"	"ILC3"	"DonorB"
"SRR2088255"	"ILC3"	"DonorB"
"SRR2088256"	"ILC3"	"DonorB"
"SRR2088257"	"ILC3"	"DonorB"
"SRR2088258"	"ILC3"	"DonorB"
"SRR2088259"	"ILC3"	"DonorB"
"SRR2088260"	"ILC3"	"DonorB"
"SRR2088261"	"NK"	"DonorB"
"SRR2088262"	"NK"	"DonorB"
"SRR2088263"	"ILC3"	"DonorB"
"SRR2088264"	"ILC3"	"DonorB"
"SRR2088265"	"ILC3"	"DonorB"
"SRR2088266"	"ILC3"	"DonorB"
"SRR2088267"	"ILC3"	"DonorB"
"SRR2088268"	"ILC3"	"DonorB"
"SRR2088269"	"ILC3"	"DonorB"
"SRR2088270"	"ILC3"	"DonorB"
"SRR2088271"	"ILC3"	"DonorB"
"SRR2088272"	"ILC3"	"DonorB"
"SRR2088273"	"ILC3"	"DonorB"
"SRR2088274"	"ILC3"	"DonorB"
"SRR2088275"	"ILC3"	"DonorB"
"SRR2088276"	"ILC3"	"DonorB"
"SRR2088277"	"ILC3"	"DonorB"
"SRR2088278"	"ILC3"	"DonorB"
"SRR2088279"	"ILC3"	"DonorB"
"SRR2088280"	"ILC3"	"DonorB"
"SRR2088281"	"NK"	"DonorB"
"SRR2088282"	"ILC3"	"DonorB"
"SRR2088283"	"ILC3"	"DonorB"
"SRR2088284"	"ILC3"	"DonorB"
"SRR2088285"	"ILC3"	"DonorB"
"SRR2088286"	"ILC3"	"DonorB"
"SRR2088287"	"ILC3"	"DonorB"
"SRR2088288"	"ILC3"	"DonorB"
"SRR2088289"	"ILC2"	"DonorB"
"SRR2088290"	"ILC2"	"DonorB"
"SRR2088291"	"ILC2"	"DonorB"
"SRR2088292"	"ILC2"	"DonorB"
"SRR2088293"	"ILC2"	"DonorB"
"SRR2088294"	"ILC2"	"DonorB"
"SRR2088295"	"ILC2"	"DonorB"
"SRR2088296"	"NK"	"DonorB"
"SRR2088297"	"ILC2"	"DonorB"
"SRR2088298"	"ILC2"	"DonorB"
"SRR2088299"	"ILC2"	"DonorB"
"SRR2088300"	"ILC2"	"DonorB"
"SRR2088301"	"ILC2"	"DonorB"
"SRR2088302"	"ILC2"	"DonorB"
"SRR2088303"	"ILC2"	"DonorB"
"SRR2088304"	"ILC2"	"DonorB"
"SRR2088305"	"ILC2"	"DonorB"
"SRR2088306"	"ILC2"	"DonorB"
"SRR2088307"	"ILC2"	"DonorB"
"SRR2088308"	"ILC2"	"DonorB"
"SRR2088309"	"ILC2"	"DonorB"
"SRR2088310"	"ILC2"	"DonorB"
"SRR2088311"	"ILC2"	"DonorB"
"SRR2088312"	"ILC2"	"DonorB"
"SRR2088313"	"NK"	"DonorB"
"SRR2088314"	"ILC2"	"DonorB"
"SRR2088315"	"ILC2"	"DonorB"
"SRR2088316"	"ILC2"	"DonorB"
"SRR2088317"	"ILC2"	"DonorB"
